,Unnamed: 0,mission number,trajectory number,wind only correct final x,wind only delta y,wind only delta y norm,wind only delta x,wind only total distance,wind only delta t,wind only delta t norm,wind and waves correct final x,wind and waves delta y,wind and waves delta y norm,wind and waves delta x,wind and waves total distance,wind and waves delta t,wind and waves delta t norm,wind and waves and surf correct final x,wind and waves and surf delta y,wind and waves and surf delta y norm,wind and waves and surf delta x,wind and waves and surf total distance,wind and waves and surf delta t,wind and waves and surf delta t norm,Mean Wave Dir FRF [deg] (8marray),Mean Wind Dir FRF [deg]
431,431,36,5,False,3869.2668150129502,35.18560793533177,4109.700439575926,5644.542797145843,35759.167631,148.32759350809266,False,3843.919331766351,34.955107778505734,3682.528997463458,5323.226056282628,35759.167631,148.32759350809266,True,2.737824362070171,0.0248967102051033,0.0585024265540994,2.738449337025912,-183.24903566666663,0.7601096522602475,-1.5884201049804716,313.8440246582031
432,432,36,6,False,3865.838812486089,35.154435013256844,4089.869254815904,5627.765119975447,35750.334333,143.04959253714975,False,3833.798265196282,34.863070734474526,3655.039289680765,5296.91621109227,35750.334333,143.04959253714975,True,1.1092127873119466,0.0100867497945044,0.2586199715436805,1.138963255429073,-206.99900033333333,0.8282754051322975,-1.5884201049804716,313.8440246582031
433,433,36,7,False,3836.8263420471767,34.89060688795462,4092.4148296446024,5609.732214368363,35658.334701,104.28996539578654,False,3805.153684999503,34.60258805998813,3658.001214922141,5278.273150836091,35658.334701,104.28996539578654,True,30.150795767805313,0.2741796132300861,0.2124832922323207,30.15154448086175,-298.99863233333326,0.8744815842046697,-1.5884201049804716,313.8440246582031
434,434,2,0,False,4970.757506489303,124.20055957016127,255.40086003182392,4977.314515642421,35534.585196,76.30936435556765,True,444.5346558494508,11.10725134604787,0.0004140477284408,444.5346558496436,2359.0018626666665,5.065879667956753,True,106.03940822256972,2.6495265199596525,0.1864206855153725,106.03957208921948,-332.7481373333334,0.7145657873970079,-15.366435241699222,182.0466156005859
435,435,2,1,False,5044.052333810253,126.03192200435286,245.79292750891148,5050.037436438473,35759.41763,148.48260485083463,True,449.6402870335367,11.23482189222609,0.0013075971741045,449.640287035438,2270.5842966666664,9.428069393938474,True,53.4015121525936,1.3343032088341051,0.1127418737663674,53.40163116341768,-202.91570333333337,0.8425599238729136,-15.366435241699222,182.0466156005859
436,436,2,2,False,5052.647107574109,126.24667311813307,247.80352607898777,5058.720132722722,35815.834071,194.2122584812074,True,472.8237085786576,11.8140885180665,0.0010939408110743,472.8237085799231,2393.834071,12.980625285356997,True,44.55656772246098,1.1133012697623836,0.0152201873833064,44.5565703220115,-146.0825956666667,0.792136538632011,-15.366435241699222,182.0466156005859
437,437,80,0,True,38.9159851534705,0.0823834531838084,0.0056452953390646,38.91598556293411,590.9174016666666,3.2158898794325332,True,48.68341051582149,0.1030606691631096,0.0211693779285724,48.683415118442134,430.5840683333332,2.3433240308924947,True,100.69020435435856,0.2131567967194489,0.0740956205629004,100.69023161699192,-110.33259833333337,0.6004519165468953,-9.029162597656253,134.09141540527344
438,438,80,1,True,23.98884473820658,0.0507833441612732,0.0070018934007975,23.98884576006717,555.4173989999999,3.0336984288310385,True,33.19316496218471,0.0702684909787182,0.0107209718185004,33.19316669355371,403.917399,2.206203084257034,True,108.77083098730031,0.2302631329277056,0.122701879871812,108.7709001958666,-111.332601,0.6081003896159417,-9.029162597656253,134.09141540527344
439,439,80,2,True,91.10397686039153,0.1928631687708284,0.0096106738284333,91.1039773673126,422.0015176666666,1.1122421410397256,True,80.57250490567708,0.1705684992843376,0.0172190666779954,80.57250674561152,250.2515176666666,0.6595717601846903,True,235.37133291143073,0.4982709061392013,0.155354935303734,235.37138418180635,-308.66514900000004,0.8135287950771835,-9.029162597656253,134.09141540527344
440,440,80,3,True,35.090329858647806,0.0742847068039983,0.0093101478716448,35.09033109372955,577.5840233333332,3.3483265720502486,True,44.47128681989693,0.0941437859353271,0.0135042958672215,44.471288870276126,423.25069,2.4536370029538084,True,99.85356175565856,0.2113856606145871,0.1706784135482451,99.8537076247646,-100.08264333333337,0.5801915574812059,-9.029162597656253,134.09141540527344
