,event number,mission number,trajectory number,jump amplitude [m],jump time [s],jump depth [m],normalized jump amplitude [-],normalized jump time [-],normalized cross shore jump location [-],breaking iribarren_number [-],Offshore Hs [m],Offshore Tm [s],linear phase speed at jump depth [m/s],bulk jump speed [m/s],mean jump speed [m/s],median jump speed [m/s],max jump speed [m/s],nrmse
3562,3562,24,12,47.71565637,6.833306,2.41506274,0.870069563,0.981573235,0.543815847,0.115793557,2.163684,6.9615855,4.864937291,6.982806913,6.809609494,7.090036064,11.49268641,0.489435637
1778,1778,67,15,47.39025547,33.999864,1.25997068,0.649565206,3.840587856,0.576898017,0.160965563,1.4895532,8.852776,3.513931226,1.393836619,1.392251864,1.494722019,3.734707933,0.743139476
2185,2185,22,22,47.36918739,14.333276,2.065421604,0.783940543,1.902946676,0.466291916,0.112469191,2.5269773,7.532148,4.499014527,3.304840246,3.261483292,3.393022194,6.636823751,0.704299324
42,42,78,7,46.83794122,5.499978,1.852577408,0.68823087,0.659894997,0.47209824,0.129385016,2.150559,8.334626,4.260898802,8.516023376,8.332517104,10.29029081,13.38314361,0.497743834
2247,2247,22,31,46.41258868,14.833274,2.561632683,0.768109229,1.969328537,0.625934155,0.112469191,2.5269773,7.532148,5.010389236,3.128951078,3.107842168,2.986209346,6.156705382,0.760502494
3109,3109,20,22,46.22986376,8.666632,3.894883935,0.76624594,1.152120793,0.634777509,0.109169979,2.6779573,7.5223293,6.178176313,5.334236387,5.175091016,5.100227877,8.59525891,0.407759184
1614,1614,77,4,46.08155079,5.83331,3.667961152,0.685150199,0.707017316,0.762247661,0.12979822,2.1118326,8.25059,5.99549992,7.89972602,7.75300525,7.949322824,13.08009793,0.477880713
1626,1626,77,6,45.97718402,10.666624,2.210733632,0.683598452,1.292831664,0.533991979,0.12979822,2.1118326,8.25059,4.654588015,4.310378244,4.264321349,4.966869254,6.121456235,0.689045432
3517,3517,24,7,45.69316613,21.66658,4.130855253,0.833190531,3.112305379,0.95981579,0.115793557,2.163684,6.9615855,6.362576638,2.108923796,2.089375724,1.962124896,4.616371306,0.614726342
3069,3069,20,13,45.45874912,7.999968,4.100949016,0.753464949,1.063496117,0.453588195,0.109169979,2.6779573,7.5223293,6.339503163,5.682366369,5.771884257,5.156945986,10.51650175,0.534850463
3198,3198,71,1,45.32800449,14.499942,2.249307146,0.580153044,1.543390139,0.816988089,0.163134115,1.5530667,9.394865,4.695019705,3.126081779,3.074609346,2.677995072,5.805555095,0.467923434
3611,3611,24,20,45.22736556,6.333308,3.676809902,0.824696906,0.909750803,0.820547472,0.115793557,2.163684,6.9615855,6.002727467,7.141191548,7.056207256,7.350854959,13.96148772,0.38076563
1754,1754,67,7,45.02968407,16.999932,1.170730715,0.617209503,1.920293928,0.6046071,0.160965563,1.4895532,8.852776,3.387205486,2.648815541,2.72306637,2.279158291,5.560201058,0.507640107
